
** ArgonMD **

 Box Units : 5
 No. Time Steps : 100000
 Initial Temp [K] : 80.0  
 Neigh Update Freq : 20
 Thermo Print Freq : 1000
 Coord Dump Freq : 1000

 Time Step [ps] : 0.001
 Cutoff Dist [Ang] : 8.760
 Cell Par [Ang] : 5.795
 Box Length [Ang] : 28.975 
 No. Atoms : 500

      Step    Time[ps]   Temp[K]      Ekin[eV]      Epot[eV]      Etot[eV]    Clock[s]
         0       0.000    80.000  +0.010320130  -0.072045884  -0.061725754       0.000
      1000       1.000    42.644  +0.005501114  -0.067414197  -0.061913083       0.526
      2000       2.000    42.745  +0.005514191  -0.067444483  -0.061930292       1.104
      3000       3.000    45.314  +0.005845547  -0.067749369  -0.061903823       1.646
      4000       4.000    43.120  +0.005562585  -0.067466734  -0.061904149       2.178
      5000       5.000    43.009  +0.005548225  -0.067455693  -0.061907468       2.705
      6000       6.000    39.988  +0.005158476  -0.067096059  -0.061937583       3.251
      7000       7.000    42.502  +0.005482884  -0.067390022  -0.061907138       3.790
      8000       8.000    41.706  +0.005380103  -0.067316356  -0.061936253       4.326
      9000       9.000    42.069  +0.005426936  -0.067354900  -0.061927965       4.858
     10000      10.000    42.430  +0.005473516  -0.067402147  -0.061928631       5.384
     11000      11.000    42.776  +0.005518221  -0.067449174  -0.061930953       5.912
     12000      12.000    42.847  +0.005527351  -0.067428184  -0.061900833       6.441
     13000      13.000    42.820  +0.005523818  -0.067441195  -0.061917377       6.967
     14000      14.000    45.176  +0.005827726  -0.067724584  -0.061896859       7.494
     15000      15.000    41.944  +0.005410818  -0.067324883  -0.061914065       8.021
     16000      16.000    44.107  +0.005689856  -0.067604254  -0.061914398       8.557
     17000      17.000    44.322  +0.005717597  -0.067621739  -0.061904142       9.103
     18000      18.000    43.155  +0.005567079  -0.067474523  -0.061907444       9.641
     19000      19.000    42.246  +0.005449741  -0.067364801  -0.061915059      10.180
     20000      20.000    43.782  +0.005648012  -0.067545864  -0.061897852      10.716
     21000      21.000    43.225  +0.005576130  -0.067486221  -0.061910091      11.252
     22000      22.000    41.794  +0.005391478  -0.067322417  -0.061930939      11.784
     23000      23.000    42.124  +0.005434041  -0.067346126  -0.061912085      12.321
     24000      24.000    42.618  +0.005497798  -0.067411536  -0.061913738      12.866
     25000      25.000    42.672  +0.005504714  -0.067403906  -0.061899192      13.418
